# list of object assets to load in this scene
[ASSETS]
mushroom.txt
mario.txt
goomba.txt
coin.txt
cloud.txt
brick.txt
questionbrick.txt
leaf.txt
ground.txt
colorblock.txt
background.txt
koopa.txt
fireball.txt
VenusFireTrap.txt
effect.txt
flygoomba.txt
P_Power.txt
BreakBrickPiece.txt
HUD.txt
Grass.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 6 = QuestionBrick
# See OBJECT_TYPE constants in AssetIDs.h


# BG
8	150	45	233	161	1	120063	120064	120065
# MARIO
0	63	11
#grass
16	80	-8
16	63	-8
16	46	-8
16	80	-24
16	63	-24
16	46	-24

16	80	24
16	63	24
16	46	24
16	80	41
16	63	41
16	46	41
16	46	56

16	127	56
16	143	56
16	159	56


16	110	-8
16	127	-8
16	144	-8
16	110	8
16	127	8
16	144	8
16	110	24
16	127	24
16	144	24

16	173	-8
16	190	-8
16	206	-8

16	173	24
16	190	24
16	173	41
16	190	41
16	206	24
16	222	24
16	238	-24
16	255	-24
16	238	-8
16	255	-8
16	238	8
16	255	8
16	238	24
16	255	24
16	255	41
16	255	58
16	255	74
16	255	90
16	255	106

#node	#x,y,type left right up down
17	63	10	1	0	1	0	0
17	95	10	1	1	0	1	0
17	95	-24	1	0	1	0	1

